1000,3000,10000,30000,100000,1-level,2-level,3-level,4-level,5-level,6-level,7-level,8-level,9-level,10-level,11-level,12-level,13-level,14-level,15-level,16-level,17-level,18-level,19-level,20-level,benchmark,benchmark10,Predictive value
32396,32395.5,32396.3,32397.5,32400.8,32397.75,32397.25,32397.25,32396.25,32395.25,32395,32395,32395,32394.75,32394.75,32395,32395.25,32395.25,32394.25,32396,32395.25,32395.5,32394.75,32394.5,32395.25,32396.74,32393.82,32396.46652
32394.3,32393.3,32393.8,32395.5,32391.5,32394.25,32394,32395.5,32394,32393.75,32393.75,32393.75,32393.75,32393.75,32393.75,32394,32392.5,32392,32391.75,32391,32391.25,32393.25,32393.5,32393.5,32393.5,32393.82,32397.09,32393.66523
32395.8,32397.3,32398,32399.3,32399,32396.5,32398,32398,32396.5,32396,32395.25,32395.25,32395.25,32395,32395.25,32395.5,32396,32396,32396.25,32395.5,32394.25,32394.75,32394.5,32394.25,32394.25,32397.09,32395.99,32396.80138
32395.8,32396,32393.8,32395,32399.5,32396.5,32398.5,32396.25,32395.25,32395,32395,32395,32394.5,32394.75,32395,32395.25,32395.75,32395.25,32395.75,32394.5,32394.75,32394.5,32394.25,32394.25,32395,32395.99,32394.34,32395.56482
32395.8,32395,32392.3,32391.8,32390.5,32396.5,32397.5,32395.25,32395.5,32394.25,32394.25,32394.25,32394.25,32394.25,32394.5,32394.25,32392.75,32391.75,32391.75,32391.75,32392.5,32392.75,32392.75,32393,32392.5,32394.34,32398.78,32393.79343
32401,32401,32400.3,32395.5,32399,32401.25,32401.25,32400.25,32397,32395.5,32395.5,32395.75,32396,32396,32397.75,32397.75,32397.75,32397.75,32398,32397,32396.25,32396.25,32396.25,32395.75,32395.5,32398.78,32400.15,32398.36572
32400.8,32399.8,32400.8,32399,32402.3,32401,32401.25,32400.75,32399.75,32399.75,32399.25,32398.75,32397.5,32397.5,32397.5,32397.5,32397.75,32398.25,32398,32396.75,32397,32396.75,32396.5,32396.75,32395.5,32400.15,32406.42,32399.93334
32405.8,32405.8,32405.8,32409.5,32401.3,32408.5,32407,32407.75,32407.75,32407.75,32407.75,32406.5,32405,32405,32404,32404,32403,32404.25,32404.25,32404.5,32404.25,32403.5,32404,32404,32403.75,32406.42,32401.06,32405.83751
32402.5,32403.3,32400,32399,32401.5,32402.5,32403.25,32403,32400,32399.5,32399.25,32399,32399.25,32399.25,32399,32399.25,32397.75,32398,32397.5,32397.25,32397.5,32396.75,32396.75,32396.75,32396.75,32401.06,32408.27,32400.41793
32407.8,32409.8,32410.3,32404.3,32406.5,32410.5,32409.75,32409.75,32409.5,32408.75,32408.5,32406.25,32405.75,32406.5,32406.5,32406.25,32406.25,32406.25,32406.25,32406,32405.75,32406.25,32406.25,32405.75,32404.75,32408.27,32460.76,32408.21418
32460,32460,32460.3,32463.3,32457.5,32461.25,32461,32462,32461.25,32461.5,32462,32461.25,32461,32461,32461.5,32461.5,32461.75,32463.25,32463.25,32462.25,32461.25,32461.25,32462,32461.75,32462.25,32460.76,32445.07,32460.66018
32445.8,32444.8,32442,32442.5,32442.3,32445.75,32445,32444.75,32445.25,32447.75,32448.5,32448.75,32448.75,32448.75,32448.75,32449.25,32449.5,32450,32450.5,32450.5,32450.5,32450.75,32450.75,32450.25,32451,32445.07,32474.51,32445.36573
32476.5,32476,32472.5,32473.3,32478.3,32474.25,32476,32473.25,32472.5,32472.5,32472.75,32472.5,32473,32473.25,32474.25,32474,32474,32473.75,32474.25,32474.75,32475.25,32475.25,32475,32475,32474.75,32474.51,32490.52,32474.20035
32489.3,32489.3,32491,32491.3,32486.3,32492.25,32491,32492.5,32492.25,32492,32492,32491.25,32490.5,32490,32489.75,32489.25,32490.75,32490.75,32489.75,32491,32491,32491,32491.5,32490.5,32491.75,32490.52,32480.74,32490.41877
32478.3,32476.8,32476.3,32482.5,32486,32478,32477,32484.25,32484.25,32483.75,32483.75,32483.75,32484.5,32484.5,32484.75,32485.5,32485.25,32485.25,32486,32486.5,32486.5,32486.5,32487.75,32487.5,32486.75,32480.74,32486.24,32481.76848
32486.3,32484.5,32487.3,32485.5,32489,32485.75,32484.5,32485.75,32486.25,32487.5,32486.25,32485.75,32487,32486.75,32486.5,32486.75,32485.75,32485,32484.75,32485.25,32486,32486,32486.5,32486.5,32487.25,32486.24,32490.96,32486.7032
32493.3,32492,32491.3,32488,32490,32489.5,32493,32492,32491.5,32490.75,32490.5,32490.5,32490.5,32491,32491,32491,32491,32491.25,32491.25,32491.5,32493.25,32492.25,32492.5,32492.5,32492.25,32490.96,32479.54,32491.25612
32478.5,32479,32479,32481.3,32482.8,32480,32478.5,32478.75,32478.5,32478.75,32478.75,32478.75,32479,32479,32479.25,32479.5,32479.5,32478.75,32478.25,32478,32478,32478,32479,32478.75,32478.75,32479.54,32471.99,32479.37956
32472.8,32472.5,32471.3,32471.8,32477,32471,32472.25,32471.25,32468.25,32468.75,32471.5,32471.75,32471.5,32471.5,32471.5,32471.5,32472,32472,32471.5,32471.75,32471.25,32471.25,32471.25,32469.25,32469.75,32471.99,32478.75,32471.77457
32478,32478,32478,32481,32479.5,32478,32476.75,32480,32480.75,32480,32478.75,32478.75,32478.75,32478.75,32478.75,32478.75,32479,32478.75,32479,32478.5,32478,32478,32477.25,32477.25,32478.25,32478.75,32495.69,32478.93082
32495.8,32493,32493,32494.8,32500.5,32495.5,32495.75,32496.25,32496.25,32494.75,32494.75,32494.75,32497.5,32497.25,32496,32496,32495.5,32495.5,32495.25,32495.5,32496.5,32497,32497,32495.5,32495.25,32495.69,32506.64,32495.75559
32506.5,32507.3,32507.3,32511,32512.8,32506,32505.5,32504.75,32504,32502.75,32502.75,32502.5,32503.25,32503.75,32502.75,32502.5,32502.5,32502.5,32502.5,32502.5,32502.25,32502.25,32501.75,32501.5,32501,32506.64,32506.24,32506.05041
32505.5,32505.5,32505.5,32507.3,32513.8,32505,32503.5,32503.75,32504.5,32504.5,32506.5,32505.25,32505.25,32505.25,32505.25,32505.25,32504.75,32504.75,32505.25,32505.25,32504.5,32504.5,32505,32505,32503.5,32506.24,32509.21,32506.31568
32507.5,32508.5,32512,32510.8,32507.8,32508.75,32508.5,32509.25,32509.25,32509,32509.5,32509.5,32509.5,32509,32508.75,32508.5,32508.25,32507.75,32507.75,32507.75,32508.5,32508.25,32507.75,32508.5,32509,32509.21,32481.47,32509.24391
32481,32481,32480.8,32482.8,32484.3,32479.5,32480.75,32480.75,32479.5,32481.75,32482.5,32482.5,32482.5,32482.5,32482,32482,32482,32482,32482.25,32483.5,32483.25,32483.25,32485.5,32485,32484.75,32481.47,32479.49,32481.68214
32480.5,32479.5,32479.8,32478.5,32483.3,32477,32480.5,32479.5,32478.25,32478.25,32478.25,32479.5,32479.25,32479.25,32479,32480,32479.75,32479.75,32479.75,32479.75,32479.75,32479.25,32479.25,32479.25,32479.5,32479.49,32476.41,32479.77454
32473.5,32475.3,32476,32478,32482,32473.75,32475.25,32476,32476,32477,32477.5,32476.5,32476.75,32476.75,32477,32476,32476.25,32476.25,32477,32474.75,32474.75,32474.5,32475.25,32475.5,32476.25,32476.41,32486.09,32476.6185
32486.3,32485,32484.8,32486.5,32486.3,32486.25,32485.25,32485.75,32487.25,32486.75,32487,32486.25,32486.25,32486,32484.5,32485,32485.25,32485.25,32484.5,32484.5,32484.5,32484.75,32484.75,32484.25,32483.75,32486.09,32573.52,32485.98616
32573.3,32573.3,32573.3,32574.5,32576,32573.5,32573.5,32574.5,32574.5,32573,32572.75,32572,32570.5,32571.75,32570.5,32570,32570.25,32570.25,32570.25,32570.25,32570.25,32569.5,32569,32569.25,32569,32573.52,32557.86,32573.35134
32555.5,32558,32558,32555.8,32556.5,32557.5,32558.25,32560.75,32559.25,32560,32560,32559.5,32559.75,32559,32558.5,32558.5,32558.75,32558.25,32558,32558,32558,32558.5,32558.5,32558,32559.25,32557.86,32583.49,32558.03569
32584,32584.5,32585.3,32584.8,32583.8,32582.5,32583.25,32581.25,32582,32582.25,32582.25,32581.75,32582.5,32582.5,32581.25,32581.5,32581,32581,32582.75,32582.75,32582.25,32582.25,32582,32580.75,32580.75,32583.49,32594.32,32583.24415
32593.8,32594.8,32593,32596.8,32596.5,32593.75,32593.75,32591.75,32592,32592.75,32593,32593,32595.75,32595.5,32595.25,32595,32595,32595,32593.75,32593.5,32593.25,32593,32593,32591.75,32591.75,32594.32,32638.18,32593.88355
32637.3,32638.8,32638.8,32639.8,32640.3,32637.25,32637.25,32637,32637,32636,32637.25,32639.25,32638,32638,32637,32637.25,32637.5,32637,32637.25,32636.25,32636.25,32635.75,32637.75,32637,32637.25,32638.18,32696.75,32638.03115
32700.3,32700.3,32700.3,32700.3,32701,32700.25,32700.25,32694.5,32691.75,32686,32686.5,32686.5,32686.5,32687.75,32688.5,32689,32685.75,32687.5,32687.5,32686.75,32687.5,32687.75,32688.75,32689.25,32690.5,32696.75,32720.49,32695.14477
32722.5,32722.5,32722.3,32722.3,32716.8,32721.25,32722,32721.75,32717.5,32717.5,32718.5,32719,32719.25,32718,32719,32717.75,32718.25,32717.25,32715.75,32716.75,32716.25,32716.25,32715.5,32715.5,32713.75,32720.49,32775.5,32719.66956
32776.3,32776.3,32776.8,32771.3,32772.5,32778.5,32777.5,32778.25,32774.5,32777,32775.75,32775.75,32775.5,32776.25,32776.5,32776.5,32776.5,32773.5,32771.5,32771.5,32771.75,32772,32772,32772,32769.75,32775.5,32714.62,32775.40121
32717.3,32713.3,32710.5,32708,32714.8,32717.25,32713.25,32713,32717.75,32715.5,32716,32718.75,32718,32718,32717.75,32715.75,32716,32716.25,32716.5,32716.5,32716.75,32716.5,32717,32717,32718,32714.62,32721.34,32714.97263
32721,32722.8,32724,32723,32719.3,32721,32721.75,32722.75,32719.5,32720.25,32721,32721,32720,32720,32720.75,32722.25,32722.25,32723,32723.75,32723.5,32723,32722.5,32721.75,32720.75,32721,32721.34,32708.68,32721.31722
32708.5,32708.5,32706,32712.5,32710.8,32707.25,32706,32705.25,32706.5,32710.5,32709.75,32710,32711,32711,32710.25,32709.75,32709.75,32709.5,32708.75,32708.75,32709.25,32708.25,32710.25,32710,32709.75,32708.68,32756.16,32708.62037
32756.5,32757,32753.8,32757.8,32759.5,32756.75,32756.75,32753.75,32751.5,32751,32754.75,32755.5,32757.25,32759.5,32761.5,32760.25,32760.5,32759.75,32759.75,32759.75,32761,32761,32761,32760.25,32760.5,32756.16,32769.93,32756.00592
32766.5,32766.5,32766.5,32774,32775.8,32766.5,32766.75,32769.5,32770,32773,32772,32774.75,32774.75,32773.25,32773.25,32772.75,32772.75,32772.25,32773,32773.5,32773.25,32774,32772.5,32771.25,32771.5,32769.93,32817.24,32770.45758
32810.5,32813,32816.3,32816.3,32827.3,32812.75,32813,32816,32815.75,32823.5,32824,32821.75,32823.5,32826,32825.25,32823.75,32823.75,32825,32825,32824.75,32825,32824.75,32826.25,32826.25,32826,32817.24,32793.54,32819.17484
32793.8,32794.5,32794.5,32793.5,32799.8,32793.75,32789.5,32789.25,32791,32791.75,32791.75,32791.5,32793.25,32794.75,32797.25,32798,32797.75,32797.75,32797.25,32797.5,32798.25,32798.75,32800,32800,32800.5,32793.54,32787.89,32794.39143
32784.3,32789,32789,32791.8,32792.3,32784.25,32784.25,32787.5,32788.75,32787.5,32787.5,32787.5,32787.75,32790.25,32790,32791.25,32792,32792,32791.75,32791.5,32791.5,32791.5,32791.75,32792.25,32791,32787.89,32827.69,32788.73406
32823.8,32826.8,32828,32832.3,32828.5,32826,32826.75,32826.75,32826.5,32826.25,32830.25,32828,32828,32828.25,32827,32827.75,32827.75,32827.5,32827.5,32827.75,32823.5,32825,32827,32827,32830.25,32827.69,32806.61,32827.39911
32803,32805.8,32805,32810.5,32811,32805,32803.25,32805.75,32807.5,32805.75,32805.75,32807,32809.25,32810.5,32810.25,32810,32810,32810.5,32810.25,32809.5,32812.25,32812,32811.5,32810.75,32811.5,32806.61,32840.59,32807.08918
32837.8,32837.5,32843.3,32846,32842.3,32838,32837.5,32837.5,32840.75,32841.5,32841.75,32841.25,32841,32840.75,32841.25,32841.25,32841.25,32841,32841,32840.75,32843.5,32844,32843.5,32843.5,32843.75,32840.59,32867.52,32841.0969
32865.8,32866,32876,32871.3,32861.8,32867.5,32866,32865.5,32866,32868.75,32868,32867,32866.75,32866.25,32864.5,32865.5,32863.75,32864.25,32864.75,32865.5,32866,32866.25,32866,32865,32864.5,32867.52,32845.5,32867.48992
32842.5,32846.3,32846.3,32849.3,32848.3,32841.25,32842.5,32843.5,32846,32845,32846.25,32846.5,32846.25,32846.75,32847.75,32847,32845.5,32845.75,32848,32848,32848.25,32848.25,32849.75,32849.5,32850.25,32845.5,32813.69,32846.01295
32813.3,32813.3,32815,32815.5,32815.5,32810.25,32811.25,32812,32812.25,32813.5,32815.25,32815,32815.25,32814.75,32815.5,32816,32816.25,32816.5,32815.5,32815.5,32815,32815.5,32815.75,32816.75,32816.5,32813.69,32781.2,32814.25299
32780.3,32784.3,32784.3,32778.3,32773.5,32780.25,32784.25,32784.5,32785.25,32784.25,32781.25,32781.25,32780.25,32778.75,32778.5,32778.5,32777,32783,32783.25,32783.75,32784.75,32785.25,32785.75,32786.25,32787.25,32781.2,32783.36,32781.20666
32787,32783.5,32781.8,32780,32783.8,32783,32783.25,32783.5,32782.75,32783.25,32784.25,32784.75,32784.25,32784.25,32784.25,32784.25,32784.25,32785,32787,32787,32787.25,32787.25,32787.25,32787.75,32787,32783.36,32761.8,32783.81573
32762.8,32762.8,32759.5,32757.8,32764.3,32762.5,32762.75,32762.25,32761.5,32762.25,32761.5,32760.75,32762.5,32764,32764,32764,32764,32762.75,32761.75,32761.5,32765,32766.25,32767,32768,32768.5,32761.8,32784.7,32762.18576
32785.8,32785.8,32780.3,32784.3,32792.3,32784.5,32780.75,32781,32783.75,32782.5,32783,32786.5,32786.5,32787.25,32787.25,32785.75,32786.5,32786.25,32786.75,32785.5,32787.25,32788,32787.75,32788.25,32789,32784.7,32752.52,32785.0641
32753.3,32751.8,32750,32752.3,32756.3,32752.75,32753,32751.75,32750.5,32751.25,32752,32753,32753.25,32754.25,32754,32753.75,32754.75,32754.75,32757.25,32756.5,32756.5,32755.75,32755.75,32757,32757.5,32752.52,32745.12,32752.66383
32748.3,32746.3,32742.8,32744.5,32747.3,32745.25,32744.5,32742.5,32742.5,32744,32744.25,32744.5,32745.5,32745.75,32745.5,32746,32746.5,32745.75,32745,32746,32746,32747,32749,32749.75,32750,32745.12,32745.67,32745.11663
32745.8,32745.8,32748.5,32740.8,32746.8,32747.75,32748.5,32748.5,32745.25,32745.25,32743.5,32743,32744,32744.5,32743.75,32743.75,32742.25,32743,32745,32745.25,32745.75,32745.75,32746.25,32746.75,32748.25,32745.67,32742.06,32745.80161
32741.5,32740.3,32743.3,32740.5,32746,32741.5,32741.5,32742.25,32741.5,32741.5,32741.5,32741.75,32743,32742.75,32743,32743.25,32743,32741,32742.25,32742.25,32742.25,32742,32741.25,32741.75,32743.25,32742.06,32725.79,32742.49793
32725.8,32725.8,32728,32723.3,32723.5,32725.75,32725.75,32727.75,32726.5,32726,32726.75,32726.5,32726.75,32727.25,32728,32728,32728.5,32728.5,32729,32731,32731,32730.75,32730.75,32731.5,32731.5,32725.79,32736.27,32726.4275
32737.8,32736,32732.8,32732.3,32740,32733.25,32737.75,32738,32736.25,32737.25,32739,32737.5,32737.5,32737.5,32737.5,32737,32737,32735.5,32734.5,32733.5,32732.75,32733.25,32733.25,32733.25,32733.25,32736.27,32737.63,32736.53988
32737.5,32737,32735.5,32737.3,32740,32737.25,32737,32738.5,32738.25,32738.75,32738.25,32738.25,32738.25,32738.5,32737.75,32737.75,32737.75,32737.75,32738.25,32737.25,32737,32737.5,32738,32738.25,32740,32737.63,32736.19,32737.83116
32738.5,32738.5,32732.3,32734,32738.3,32736.75,32736.5,32734,32734.75,32735.25,32735.5,32736.5,32736.75,32736.75,32736.75,32736.75,32736.25,32736.75,32736.75,32736.75,32736.75,32734.75,32737.75,32739.25,32739.5,32736.19,32729.01,32735.9578
32730.5,32729,32727.5,32728,32733.8,32728.25,32730,32729.25,32727.5,32727.75,32727.75,32728,32727.75,32729,32729.5,32730,32730.5,32731.5,32730.75,32730.5,32730.5,32730.5,32731,32730.75,32730.75,32729.01,32714.34,32729.28029
32711.8,32715,32717,32714.8,32718.3,32711.75,32712,32712,32712.25,32714.25,32714,32714.75,32716.5,32716.5,32716.5,32716,32715.5,32715.5,32715.5,32715.5,32716.25,32718,32719,32718.75,32719,32714.34,32700.94,32714.86762
32700.8,32699.5,32699.5,32701.3,32703.5,32698.5,32699.75,32700.75,32701.5,32701.75,32701.75,32703.25,32703.25,32702.75,32702.75,32703,32702.75,32702.75,32703.75,32704,32704.75,32704.5,32705,32705.25,32707,32700.94,32702.54,32701.49523
32702,32702,32701.8,32702.8,32703.5,32703.5,32702.25,32702.75,32702.25,32702.25,32702.25,32703.5,32703,32702.75,32702.25,32702.25,32703.25,32703.5,32703.5,32703.5,32703,32703,32703,32703,32705,32702.54,32718.49,32702.47005
32719.3,32719.3,32718.5,32714.8,32720,32716.25,32718.5,32720,32719,32719.75,32719.75,32719.75,32719.5,32719.5,32719.5,32719.75,32719.5,32719.5,32718.25,32718.75,32719.25,32719.75,32720.75,32720.75,32719.75,32718.49,32723.92,32719.11397
32721.3,32721.3,32725.5,32724.3,32724.5,32722.25,32725.5,32725.75,32725.5,32724.75,32725,32724.5,32724,32723.75,32723.75,32724,32724.25,32724.5,32724.5,32725.5,32726.5,32726.5,32727,32727.25,32726.75,32723.92,32717.51,32724.27982
32717.8,32717.8,32717,32719,32712,32715.75,32717,32716.5,32719.5,32719.75,32719.75,32719.75,32719.5,32719.25,32718.75,32718.75,32718,32717.25,32717.75,32716,32716,32716.25,32718.25,32718.75,32720.25,32717.51,32722.76,32717.5709
32722.3,32722.5,32724.8,32723.5,32728.5,32720.25,32721.5,32720.25,32722.25,32722.5,32721.25,32720.75,32720.75,32721,32721,32721,32723.5,32725.75,32725.25,32725.25,32725,32726.5,32726.5,32725.75,32725,32722.76,32700.15,32723.28273
32699.8,32700.8,32698.8,32700.5,32702.3,32699.25,32699.25,32699.75,32699.75,32700.25,32700.25,32700.25,32700.75,32699.75,32700,32700,32700.5,32700.25,32700.5,32700.75,32702,32702,32702,32702.25,32701.75,32700.15,32708.99,32700.15995
32706,32709.8,32710.8,32708.3,32708,32709.75,32707.25,32708.75,32710,32710,32710,32710,32710,32710.5,32711,32710.75,32710.75,32710.5,32711.25,32710.25,32710.25,32711,32712,32712,32712.5,32708.99,32683.25,32709.29925
32680.5,32680.5,32680.5,32685,32686,32681.25,32683.25,32684.75,32685,32684.75,32685,32685.5,32685.5,32686.25,32686,32686.5,32685.75,32685.75,32686,32688.25,32688.25,32688,32688.5,32688.25,32688.25,32683.25,32692.76,32683.79289
32692.3,32692.3,32692,32693.5,32696.5,32690.25,32691.25,32692,32692,32693.25,32693.25,32694,32694.25,32692.75,32692.25,32693.25,32693.25,32694.25,32694.5,32695,32695.25,32695.25,32696.5,32696.5,32696.5,32692.76,32679.44,32693.10612
32678.3,32678.3,32678,32680.5,32685,32678,32678.25,32680.25,32679.25,32680,32680,32679.5,32678.75,32678.75,32679.25,32679.5,32680.5,32681.5,32683,32683,32683,32682.75,32683,32683,32683.25,32679.44,32692.67,32679.88846
32694.3,32694.3,32696,32692.3,32691.8,32694,32692.5,32693.75,32692.75,32689.75,32690,32688.75,32688.75,32688.75,32688.5,32689.75,32689.75,32689.75,32689.75,32690,32690.75,32691,32691,32692.5,32692.75,32692.67,32673.44,32692.46014
32673.8,32673.8,32673.8,32675,32676,32672.5,32672.5,32671.25,32671.75,32671.5,32672,32672,32673.25,32673,32673.75,32674.25,32675,32675,32675,32675,32675.75,32675.75,32675.75,32676.25,32676.25,32673.44,32678.32,32673.49944
32677,32678.5,32678.3,32679.3,32679.8,32678.5,32678.5,32678.25,32677.75,32677.75,32678,32677.5,32677.5,32678,32677.75,32677.75,32678.25,32677.25,32678.5,32679.25,32679.75,32679.75,32679,32678.75,32678.75,32678.32,32683.69,32678.19861
32683.5,32683.5,32684.8,32685.8,32681.5,32683.5,32684.5,32684.25,32683.25,32683.25,32683,32683.75,32683.5,32683.75,32684.75,32684,32683.75,32683.5,32683.75,32683.75,32683.75,32685,32685.5,32686.5,32686.25,32683.69,32691.92,32683.60672
32691.8,32691.8,32690,32690.8,32693.3,32693.25,32692,32692.25,32692.75,32693,32691.25,32692.25,32692.25,32692.5,32693.25,32692.75,32692.75,32692.75,32692.5,32693.75,32694.75,32695,32695,32695,32694.75,32691.92,32683.36,32692.08182
32682,32681.5,32681.3,32685.5,32688,32681.75,32681.5,32681.75,32683.25,32683.75,32684,32683.5,32684.75,32684.25,32684.25,32685.25,32685.25,32686.5,32686.75,32687.5,32687.5,32688,32688.25,32688.5,32689,32683.36,32682.36,32683.76657
32681.8,32681.5,32681.5,32684.8,32681,32680.75,32681.75,32682,32682.5,32682.75,32684,32684.25,32684,32683.75,32683.75,32684.5,32684,32683.75,32683.5,32684.25,32684.25,32684.75,32687.25,32687.25,32687.75,32682.36,32668.96,32682.54367
32669,32669,32668.3,32670.3,32672,32666,32667.5,32668,32668.5,32667.5,32669.5,32669.25,32669.5,32669.5,32669.5,32670,32669.75,32669.75,32670.25,32669.25,32671,32671.25,32670.25,32670.25,32670.5,32668.96,32671.77,32669.2637
32670.8,32670.5,32669.5,32670.3,32674.8,32670.75,32672.5,32672,32672.5,32672.75,32672.75,32673,32673.25,32672.25,32671.75,32672,32672.25,32672,32672.25,32672.25,32672.25,32672.75,32674.75,32675,32674.25,32671.77,32670.14,32671.92306
32669.8,32668.5,32668.5,32671.3,32673.8,32669.75,32669.25,32670,32670.75,32670.75,32669.75,32670,32670,32670.25,32670.25,32670.25,32670.25,32670.25,32672,32673.75,32673.75,32674,32673.5,32673.5,32673,32670.14,32685.14,32670.45648
32683.8,32683.8,32683.8,32688,32684.5,32685.25,32685.5,32686.25,32686.25,32685.25,32685.5,32685.5,32685,32685.25,32685.25,32685,32685,32686.5,32686.5,32688.5,32688.25,32688.75,32688.75,32689.25,32690.5,32685.14,32692.96,32685.109
32694.3,32693,32692,32693,32692.8,32689.75,32693,32693.75,32693.75,32694.25,32694.5,32693.5,32693.5,32693.75,32693.5,32692.75,32693.5,32693.5,32694.25,32694.25,32695,32695.5,32695.5,32694.5,32694,32692.96,32685.12,32693.38159
32684.3,32684.3,32684.3,32686.5,32683.3,32684.5,32685.5,32686.75,32686.25,32686.5,32686.5,32685.75,32685.75,32686,32686,32687.25,32688,32687.75,32687.75,32688.25,32688.5,32688.5,32688.25,32688.5,32689,32685.12,32693.72,32685.35499
32694.5,32693.3,32691.8,32694.3,32693.5,32693,32694.25,32693.25,32693.5,32693.75,32694.25,32695.25,32694.75,32694.5,32694.5,32694.25,32693.5,32693.5,32694,32693.75,32693.75,32693.25,32695.5,32695.5,32695.75,32693.72,32693.49,32693.6518
32693.5,32693.3,32692.8,32695,32695,32693.25,32693.25,32693,32693,32692.5,32692.5,32693.5,32693.25,32693.25,32693.25,32692.25,32692.5,32691.75,32691.75,32691.75,32693.25,32694,32694,32691.5,32690.5,32693.49,32715.99,32693.30689
32716,32714.3,32714.3,32719,32717.5,32715.75,32714.75,32716.5,32715.75,32716.5,32716.5,32716.25,32716,32716.25,32716.5,32716.5,32716.25,32716.5,32716.25,32717,32717,32717,32716.5,32717,32716.5,32715.99,32735.69,32716.09907
32736.3,32736,32736,32735.3,32735.8,32736.25,32736.25,32734,32734,32735.25,32735.5,32735.75,32735.5,32735,32735.5,32735.75,32735,32735,32735.75,32735.75,32736,32736,32736.5,32737,32737.25,32735.69,32736.35,32735.50975
32736.8,32736.8,32735.8,32736.3,32736.3,32736.75,32736.75,32736.25,32735.5,32736.25,32736,32736.5,32736.5,32737,32737.75,32737,32737,32737,32737.25,32737,32737,32737.5,32737.75,32737.75,32737.5,32736.35,32732.02,32736.34154
32730.8,32733.3,32733.5,32731.3,32730,32732,32733.25,32733.5,32733,32732.75,32731.75,32731.5,32731.25,32731.5,32731.5,32731.75,32731.25,32731.25,32731,32731.75,32732,32732.25,32732,32732,32732,32732.02,32717.87,32731.95761
